Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,-,-,-,-,"338,000","937,000","1,286,000","59,000","1,766,000","1,358,000","1,104,000","793,000","1,103,000","793,000","72,000","2,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-80.861%,-31.001%,16.486%,-92.560%,60.109%,71.248%,1433.333%,39550.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,655,000","9,151,000","8,779,000","9,122,000","9,092,000","6,876,000","7,059,000","7,037,000","6,519,000","9,247,000","7,603,000","6,409,000","5,410,000","5,235,000","4,903,000","3,556,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-8,655,000","-9,151,000","-8,779,000","-9,122,000","-8,754,000","-5,939,000","-5,773,000","-6,978,000","-4,753,000","-7,889,000","-6,499,000","-5,616,000","-4,307,000","-4,442,000","-4,831,000","-3,554,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,590,000","2,618,000","6,061,000","7,881,000","8,532,000","9,249,000","9,191,000","9,816,000","9,995,000","13,882,000","5,259,000","5,269,000","7,116,000","4,554,000","4,311,000","2,994,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,590,000","2,618,000","6,061,000","7,881,000","8,532,000","9,249,000","9,191,000","9,816,000","9,995,000","13,882,000","5,259,000","5,269,000","7,116,000","4,554,000","4,311,000","2,994,000",Financials in USD,Fiscal year is January - December
Operating Income,"-13,245,000","-11,769,000","-14,840,000","-17,003,000","-17,286,000","-15,188,000","-14,964,000","-16,794,000","-14,748,000","-21,771,000","-11,758,000","-10,885,000","-11,423,000","-8,996,000","-9,142,000","-6,548,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"150,000","236,000","331,000","426,000","583,000","794,000","1,061,000","1,128,000","542,000","27,000","4,000","4,000","5,000","2,000","1,000","1,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,977,000","164,000","2,369,000","-2,179,000","5,492,000","-4,000","-8,000","-4,000","2,000","25,000","-54,000","14,732,000","21,000","-3,013,000","-11,861,000","-1,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,118,000","-11,369,000","-12,140,000","-18,756,000","-11,211,000","-14,398,000","-13,911,000","-15,670,000","-14,204,000","-21,719,000","-11,808,000","3,851,000","-11,397,000","-12,007,000","-21,002,000","-6,548,000",Financials in USD,Fiscal year is January - December
Asset Writedown,"-313,000",-,-,"-271,000","-25,691,000",-,-,-,-,-,-,"-13,000","-9,000",-,-,"-238,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-17,435,000","166,000","29,000","339,000","287,000","148,000","59,000","682,000","-99,000","10,167,000",-,"-14,742,000",-,-,-,"5,710,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-28,866,000","-11,203,000","-12,111,000","-18,688,000","-36,615,000","-14,250,000","-13,852,000","-14,988,000","-14,303,000","-11,552,000","-11,808,000","-10,904,000","-11,406,000","-12,007,000","-21,002,000","-1,076,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-28,866,000","-11,203,000","-12,111,000","-18,688,000","-36,615,000","-14,250,000","-13,852,000","-14,988,000","-14,303,000","-11,552,000","-11,808,000","-10,904,000","-11,406,000","-12,007,000","-21,002,000","-1,076,000",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,"-28,000","21,692,000","-4,447,000","-4,870,000","-3,222,000","-2,337,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
