Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"7,101,000","10,089,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"36,061,000","49,432,000","35,198,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-28,960,000","-39,343,000","-35,198,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","14,281,000","12,650,000","12,085,000","11,368,000","5,562,000","2,290,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"30,698,000","23,854,000","10,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,281,000","12,650,000","12,085,000","42,066,000","29,416,000","13,107,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-43,241,000","-51,993,000","-47,283,000","-42,066,000","-29,416,000","-13,107,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-357,000","-483,000","-420,000","-345,000","-323,000","-65,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,171,000","4,557,000","1,523,000","119,000","200,000","84,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-39,427,000","-47,919,000","-46,180,000","-42,292,000","-29,539,000","-13,088,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-39,427,000","-47,919,000","-46,180,000","-42,292,000","-29,539,000","-13,088,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-39,427,000","-47,919,000","-46,180,000","-42,292,000","-29,539,000","-13,088,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,087,146","38,510,220","23,527,116","23,361,416","5,991,213","764,408",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,087,146","38,510,220","23,527,116","23,361,416","5,991,213","764,408",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),20.123%,63.684%,0.709%,289.928%,683.772%,1.772%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.960,-1.244,-1.963,-1.810,-4.930,-17.122,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.960,-1.244,-1.963,-1.810,-4.930,-17.122,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,496,000","-33,282,000","-41,691,000","-35,970,000","-27,593,000","-12,621,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.132,-0.864,-1.772,-1.540,-4.606,-16.511,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-608.942%,-515.343%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-555.232%,-474.963%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-654.781%,-329.884%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-43,188,000","-51,923,000","-47,209,000","-41,998,000","-29,380,000","-13,095,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"53,000","70,000","74,000","68,000","36,000","12,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-43,241,000","-51,993,000","-47,283,000","-42,066,000","-29,416,000","-13,107,000",Upgrade,Financials in USD,Fiscal year is January - December
