Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"106,455,000","103,781,000","53,509,000","18,256,000","9,330,000","18,147,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),37.008%,93.951%,193.104%,95.670%,-48.587%,357.564%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"51,557,000","51,440,000","47,593,000","64,526,000","67,003,000","65,775,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"54,898,000","52,341,000","5,916,000","-46,270,000","-57,673,000","-47,628,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,081,000","25,554,000","36,483,000","41,701,000","21,440,000","15,588,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"56,002,000","25,554,000","36,483,000","41,701,000","21,440,000","15,588,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,104,000","26,787,000","-30,567,000","-87,971,000","-79,113,000","-63,216,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-2,605,000","-1,940,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,750,000","3,937,000","1,106,000","346,000","401,000","1,328,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,"432,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-36,000","-14,000","862,000","-191,000",-,"739,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"3,610,000","30,710,000","-31,204,000","-89,756,000","-78,280,000","-61,149,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-11,630,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-5,306,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-3,581,000",-,-,"223,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"3,610,000","25,404,000","-46,415,000","-89,756,000","-78,280,000","-60,925,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"97,000","2,598,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"3,513,000","22,806,000","-46,415,000","-89,756,000","-78,280,000","-60,925,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"3,513,000","22,806,000","-46,415,000","-89,756,000","-78,280,000","-60,925,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"549,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"3,513,000","22,806,000","-46,415,000","-89,756,000","-78,829,000","-60,925,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,653,053","52,703,467","37,585,075","30,895,756","22,386,122","18,160,525",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,938,616","52,989,030","37,585,075","30,895,756","22,386,122","18,160,525",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.406%,40.984%,21.651%,38.013%,23.268%,13.490%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.065,0.433,-1.235,-2.905,-3.521,-3.355,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.065,0.430,-1.235,-2.905,-3.521,-3.355,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,536,000","-32,995,000","-7,731,000","-64,347,000","-86,029,000","-50,334,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.325,-0.623,-0.206,-2.083,-3.843,-2.772,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,51.569%,50.434%,11.056%,-253.451%,-,-262.457%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1.037%,25.811%,-57.125%,-481.874%,-847.942%,-348.355%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,3.300%,21.975%,-86.742%,-491.652%,-844.898%,-335.730%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-16.473%,-31.793%,-14.448%,-352.470%,-922.069%,-277.368%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,064,000","27,154,000","-29,698,000","-87,325,000","-78,352,000","-62,466,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-0.999%,26.165%,-55.501%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"40,000","367,000","869,000","646,000","761,000","750,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,104,000","26,787,000","-30,567,000","-87,971,000","-79,113,000","-63,216,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-1.037%,25.811%,-57.125%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,2.687%,10.227%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"106,455,000","103,781,000","53,509,000","18,256,000","9,330,000","18,147,000",Upgrade,Financials in USD,Fiscal year is January - December
