Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,-,-,"33,193,000","18,816,000","15,403,000","20,492,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,76.408%,22.158%,-24.834%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"169,146,000","121,900,000","123,044,000","108,468,000","74,062,000","54,217,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-169,146,000","-121,900,000","-89,851,000","-89,652,000","-58,659,000","-33,725,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","61,583,000","49,395,000","42,619,000","40,269,000","28,219,000","20,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"61,583,000","49,395,000","42,619,000","40,269,000","28,219,000","20,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-230,729,000","-171,295,000","-132,470,000","-129,921,000","-86,878,000","-54,542,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,500,000","-6,500,000","-4,700,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,263,000","12,006,000","4,568,000","-1,878,000","395,000","3,542,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-225,966,000","-165,789,000","-132,602,000","-131,799,000","-86,483,000","-51,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-1,900,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-225,966,000","-165,789,000","-134,502,000","-131,799,000","-86,483,000","-51,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-225,966,000","-165,789,000","-134,502,000","-131,799,000","-86,483,000","-51,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-225,966,000","-165,789,000","-134,502,000","-131,799,000","-86,483,000","-51,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"80,081,535","75,979,495","59,611,656","36,711,833","30,734,109","27,537,939",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"80,081,535","75,979,495","59,611,656","36,711,833","30,734,109","27,537,939",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),42.340%,27.457%,62.377%,19.450%,11.606%,75.902%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.822,-2.182,-2.256,-3.590,-2.814,-1.852,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.822,-2.182,-2.256,-3.590,-2.814,-1.852,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-188,861,000","-145,297,000","-133,758,000","-132,037,000","-64,359,000","-66,230,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.358,-1.912,-2.244,-3.597,-2.094,-2.405,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-270.693%,-,-,-164.576%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-399.090%,-690.482%,-564.033%,-266.162%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-405.212%,-700.462%,-561.469%,-248.878%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-402.971%,-701.727%,-417.834%,-323.199%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-228,515,000","-168,451,000","-129,484,000","-127,294,000","-85,387,000","-53,239,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-259.804%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,214,000","2,844,000","2,986,000","2,627,000","1,491,000","1,303,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-230,729,000","-171,295,000","-132,470,000","-129,921,000","-86,878,000","-54,542,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-266.162%,Upgrade,Financials in USD,Fiscal year is January - December
