Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,"33,193,000","4,049,000","5,464,000","4,595,000","4,708,000","3,436,000","3,037,000","3,900,000","5,030,000","7,573,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,605.034%,17.841%,79.914%,17.821%,-6.402%,-54.628%,-36.385%,-22.604%,61.945%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"48,719,000","42,373,000","43,094,000","34,961,000","30,337,000","26,867,000","29,735,000","28,213,000","33,392,000","32,073,000","29,366,000","29,051,000","31,265,000","25,603,000","22,549,000","21,780,000","18,383,000","15,997,000","16,902,000","14,064,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-48,719,000","-42,373,000","-43,094,000","-34,961,000","-30,337,000","-26,867,000","-29,735,000","-28,213,000","-33,392,000","-32,073,000","3,827,000","-25,002,000","-25,801,000","-21,008,000","-17,841,000","-18,344,000","-15,346,000","-12,097,000","-11,872,000","-6,491,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,061,000","17,125,000","15,325,000","13,071,000","13,335,000","12,215,000","10,774,000","10,315,000","10,470,000","11,074,000","10,760,000","10,362,000","11,276,000","9,265,000","9,366,000","7,760,000","8,272,000","6,365,000","5,822,000","5,856,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,061,000","17,125,000","15,325,000","13,071,000","13,335,000","12,215,000","10,774,000","10,315,000","10,470,000","11,074,000","10,760,000","10,362,000","11,276,000","9,265,000","9,366,000","7,760,000","8,272,000","6,365,000","5,822,000","5,856,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-64,780,000","-59,498,000","-58,419,000","-48,032,000","-43,672,000","-39,082,000","-40,509,000","-38,528,000","-43,862,000","-43,147,000","-6,933,000","-35,364,000","-37,077,000","-30,273,000","-27,207,000","-26,104,000","-23,618,000","-18,462,000","-17,694,000","-12,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-6,500,000",-,-,-,"-4,700,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"301,000","990,000","1,566,000","8,406,000","1,313,000","1,157,000","1,130,000","5,873,000","565,000","-853,000","-1,017,000","-550,000","-430,000","-434,000","-464,000","-467,000","57,000","181,000","624,000","774,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-64,479,000","-58,508,000","-56,853,000","-46,126,000","-42,359,000","-37,925,000","-39,379,000","-37,355,000","-43,297,000","-44,000,000","-7,950,000","-35,914,000","-37,507,000","-30,707,000","-27,671,000","-26,571,000","-23,561,000","-18,281,000","-17,070,000","-11,573,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-1,900,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-64,479,000","-58,508,000","-56,853,000","-46,126,000","-42,359,000","-37,925,000","-39,379,000","-39,255,000","-43,297,000","-44,000,000","-7,950,000","-35,914,000","-37,507,000","-30,707,000","-27,671,000","-26,571,000","-23,561,000","-19,281,000","-17,070,000","-11,573,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-64,479,000","-58,508,000","-56,853,000","-46,126,000","-42,359,000","-37,925,000","-39,379,000","-39,255,000","-43,297,000","-44,000,000","-7,950,000","-35,914,000","-37,507,000","-30,707,000","-27,671,000","-26,571,000","-23,561,000","-19,281,000","-17,070,000","-11,573,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-64,479,000","-58,508,000","-56,853,000","-46,126,000","-42,359,000","-37,925,000","-39,379,000","-39,255,000","-43,297,000","-44,000,000","-7,950,000","-35,914,000","-37,507,000","-30,707,000","-27,671,000","-26,571,000","-23,561,000","-19,281,000","-17,070,000","-11,573,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"97,050,637","79,992,068","79,744,654","75,979,495","56,260,574","55,159,787","51,989,359","51,672,579","51,660,854","41,622,392","37,456,574","37,197,833","36,683,026","36,582,708","36,380,438","33,938,451","29,779,114","29,690,280","29,527,349","29,364,111",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"97,050,637","79,992,068","79,744,654","75,979,495","56,260,574","55,159,787","51,989,359","51,672,579","51,660,854","41,622,392","37,456,574","37,197,833","36,683,026","36,582,708","36,380,438","33,938,451","29,779,114","29,690,280","29,527,349","29,364,111",Upgrade,Financials in USD,Fiscal year is January - December
