Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"2,777,000","3,371,000","1,180,000","1,754,000","545,000","2,224,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),292.232%,185.678%,-32.725%,221.835%,-75.495%,-11.746%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,777,000","3,371,000","1,180,000","1,754,000","545,000","2,224,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,498,000","14,561,000","16,555,000","15,392,000","13,537,000","14,728,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"19,304,000","43,971,000","52,044,000","47,127,000","47,474,000","41,905,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"27,802,000","58,532,000","68,599,000","62,519,000","61,011,000","56,633,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-25,025,000","-55,161,000","-67,419,000","-60,765,000","-60,466,000","-54,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-1,000","-2,000","-2,000","-6,000","-21,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,876,000","2,469,000","1,267,000","210,000","1,302,000","3,062,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-509,000","-517,000","7,000","-4,000","-3,000","-5,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,276,000","-4,058,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-37,172,000","-57,268,000","-66,147,000","-60,561,000","-59,173,000","-51,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"7,000","14,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-37,179,000","-57,282,000","-66,147,000","-60,561,000","-59,173,000","-51,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-37,179,000","-57,282,000","-66,147,000","-60,561,000","-59,173,000","-51,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,145,569","6,502,279","4,781,696","3,688,649","2,389,051","2,018,939",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,145,569","6,502,279","4,781,696","3,688,649","2,389,051","2,018,939",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),159.774%,35.983%,29.633%,54.398%,18.332%,26.803%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.061,-8.810,-13.833,-16.418,-24.768,-25.446,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.061,-8.810,-13.833,-16.418,-24.768,-25.446,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-36,660,000","-51,828,000","-57,616,000","-52,877,000","-39,948,000","-76,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.018,-7.971,-12.049,-14.335,-16.721,-38.000,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-901.152%,-1636.339%,-5713.475%,-3464.367%,-11094.679%,-2446.448%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1338.819%,-1699.258%,-5605.678%,-3452.737%,-10857.431%,-2309.937%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1320.130%,-1537.467%,-4882.712%,-3014.652%,-7329.908%,-3449.595%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-24,275,000","-53,203,000","-64,899,000","-58,322,000","-57,830,000","-51,707,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"750,000","1,958,000","2,520,000","2,443,000","2,636,000","2,702,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-25,025,000","-55,161,000","-67,419,000","-60,765,000","-60,466,000","-54,409,000",Upgrade,Financials in USD,Fiscal year is January - December
