Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"386,000","9,936,000","14,880,000","23,488,000","15,093,000","1,982,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-95.612%,-33.226%,-36.649%,55.622%,661.504%,-3.317%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"88,637,000","108,153,000","111,944,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-88,251,000","-98,217,000","-97,064,000","23,488,000","15,093,000","1,982,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,271,000","28,282,000","29,299,000","23,036,000","21,325,000","21,478,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"99,872,000","76,065,000","58,245,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"23,271,000","28,282,000","29,299,000","122,908,000","97,390,000","79,723,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-111,522,000","-126,499,000","-126,363,000","-99,420,000","-82,297,000","-77,741,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,330,000","-5,127,000","-4,134,000","-3,907,000","-1,792,000","-72,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,707,000","6,816,000","2,132,000","87,000","426,000","2,375,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"14,465,000","-37,275,000","33,711,000","16,682,000","-375,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-97,680,000","-162,085,000","-94,654,000","-86,558,000","-84,038,000","-75,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-135,000","-2,489,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-97,815,000","-164,574,000","-94,654,000","-86,558,000","-84,038,000","-75,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-97,815,000","-164,574,000","-94,654,000","-86,558,000","-84,038,000","-75,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-97,815,000","-164,574,000","-94,654,000","-86,558,000","-84,038,000","-75,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"36,785,016","28,325,779","12,631,968","6,253,498","4,605,162","4,022,218",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"36,785,016","28,325,779","12,631,968","6,253,498","4,605,162","4,022,218",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.766%,124.239%,101.998%,35.793%,14.493%,23.168%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.659,-5.810,-7.493,-13.842,-18.249,-18.755,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.659,-5.810,-7.493,-13.842,-18.249,-18.755,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-100,054,000","-109,979,000","-124,306,000","-100,785,000","-60,700,000","-72,891,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.720,-3.883,-9.841,-16.117,-13.181,-18.122,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-28891.710%,-1273.138%,-849.214%,-423.280%,-545.266%,-3922.351%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-25340.674%,-1656.341%,-636.116%,-368.520%,-556.801%,-3806.155%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-25920.725%,-1106.874%,-835.390%,-429.091%,-402.173%,-3677.649%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-110,180,000","-124,247,000","-123,657,000","-96,402,000","-79,262,000","-75,019,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,342,000","2,252,000","2,706,000","3,018,000","3,035,000","2,722,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-111,522,000","-126,499,000","-126,363,000","-99,420,000","-82,297,000","-77,741,000",Upgrade,Financials in USD,Fiscal year is January - December
