Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2014,FY 2013,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013",,
Revenue,-,-,-,-,"137,880","135,001",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,2.133%,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"137,880","135,001",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,998,000","7,682,000","7,176,000","4,633,000",-,-,Financials in USD,Fiscal year is January - December
Research & Development,"39,400,000","36,966,000","25,654,000","10,977,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"53,398,000","44,648,000","32,830,000","15,610,000",-,-,Financials in USD,Fiscal year is January - December
Operating Income,"-53,398,000","-44,648,000","-32,830,000","-15,610,000",-,-,Financials in USD,Fiscal year is January - December
Interest Expense,"-119,000","-152,000","-144,000","-445,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,659,000","581,000","149,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,620,000","1,396,000","645,000","8,097,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-53,478,000","-42,823,000","-32,180,000","-7,958,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-969,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-53,478,000","-42,823,000","-32,180,000","-8,927,000",-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,-,"-42,823,000","-32,180,000","-8,927,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-53,478,000","-42,823,000","-32,180,000","-8,927,000","7,865","-14,452",Financials in USD,Fiscal year is January - December
Net Income to Common,"-53,478,000","-42,823,000","-32,180,000","-8,927,000",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"14,744,477","2,634,246","2,525,771",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"14,744,477","2,634,246","2,525,771",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),483.465%,4.295%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.627,-16.256,-12.741,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.627,-16.256,-12.741,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-54,119,000","-40,960,000","-29,725,000","-14,576,000",-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.670,-15.549,-11.769,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,100.000%,100.000%,Financials in USD,Fiscal year is January - December
EBITDA,"-51,888,000","-43,170,000","-31,824,000","-15,246,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,510,000","1,478,000","1,006,000","364,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-53,398,000","-44,648,000","-32,830,000","-15,610,000",-,-,Financials in USD,Fiscal year is January - December
