Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","8,245,321","2,367,742","20,941","11,639",Financials in USD,Fiscal year is January - December
Research & Development,"2,170,042","1,574,306","833,206","126,492",Financials in USD,Fiscal year is January - December
Operating Expenses,"10,415,363","3,942,048","854,147","138,131",Financials in USD,Fiscal year is January - December
Operating Income,"-10,415,363","-3,942,048","-854,147","-138,131",Financials in USD,Fiscal year is January - December
Interest Expense,"-5,100,367","-1,643,049",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,474,791","-5,585,097","-854,147","-138,131",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-7,486,767","-7,486,767",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-22,961,558","-13,071,864","-854,147","-138,131",Financials in USD,Fiscal year is January - December
Net Income,"-22,961,558","-13,071,864","-854,147","-138,131",Financials in USD,Fiscal year is January - December
Net Income to Common,"-22,961,558","-13,071,864","-854,147","-138,131",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"28,898,368","27,304,724","26,829,284",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"28,898,368","27,304,724","26,829,284",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.647%,1.772%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.795,-0.479,-0.032,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.795,-0.479,-0.032,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,551,835","-3,859,796","-468,661","-119,396",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.192,-0.141,-0.017,-,Financials in USD,Fiscal year is January - December
EBIT,"-10,415,363","-3,942,048","-854,147","-138,131",Financials in USD,Fiscal year is January - December
