Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","1,506,796","1,344,389","1,232,674","1,641,624","1,051,524","1,038,257","1,273,730","1,419,777","1,377,283","1,337,427","1,540,744","1,096,189","2,639,920","1,271,278","1,373,460","1,942,316","1,172,725","869,206","1,322,959","1,391,268",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,112,085","2,327,632","2,675,652","1,699,313","1,065,855","197,903","265,735","1,134,847","1,540,205","1,524,465","1,177,895","915,600","1,162,370","693,222","22,376,202","890,963","1,052,398","1,274,837","1,342,526","1,422,149",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,618,881","3,672,021","3,908,326","3,340,937","2,117,379","1,236,160","1,539,465","2,554,624","2,917,488","2,861,892","2,718,639","2,011,789","3,802,290","1,964,500","23,749,662","2,833,279","2,225,123","2,144,043","2,665,485","2,813,417",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,618,881","-3,672,021","-3,908,326","-3,340,937","-2,117,379","-1,236,160","-1,539,465","-2,554,624","-2,917,488","-2,861,892","-2,718,639","-2,011,789","-3,802,290","-1,964,500","-23,749,662","-2,833,279","-2,225,123","-2,144,043","-2,665,485","-2,813,417",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,312","-9,189","-7,963","-369,031","-5,337","-9,126","-7,350",-,-372,"-1,484","-2,587",-,-,-336,-613,-611,-610,-406,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"664,724","104,883",-,-,"150,741","139,859",-,-,-,63,-,-,-,-,-,-,-,-,-,"142,770",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,654,"117,449","484,369",-,-911,"143,826","2,922","1,323","2,292",-310,"10,662","3,642",587,"2,135","11,197","5,298","-2,101","10,841","-122,326",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,960,469","-3,575,673","-3,798,840","-3,225,599","-1,971,975","-1,106,338","-1,402,989","-2,551,702","-2,916,537","-2,861,021","-2,721,536","-2,001,127","-3,798,648","-1,964,249","-23,748,140","-2,822,693","-2,220,435","-2,146,550","-2,654,644","-2,792,973",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-9,427",-,-,-,"-7,069",-,-,-,"1,296",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,"-3,771","2,901",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-1,200,000",-,"247,233",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,960,469","-3,575,673","-3,798,840","-3,225,599","-1,971,975","-1,106,338","-1,406,760","-2,548,801","-2,916,537","-2,861,021","-2,721,536","-3,210,554","-3,798,648","-1,717,016","-23,748,140","-2,829,762","-2,220,435","-2,146,550","-2,654,644","-2,791,677",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,960,469","-3,575,673","-3,798,840","-3,225,599","-1,971,975","-1,106,338","-1,406,760","-2,548,801","-2,916,537","-2,861,021","-2,721,536","-3,210,554","-3,798,648","-1,717,016","-23,748,140","-2,829,762","-2,220,435","-2,146,550","-2,654,644","-2,791,677",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,960,469","-3,575,673","-3,798,840","-3,225,599","-1,971,975","-1,106,338","-1,406,760","-2,548,801","-2,916,537","-2,861,021","-2,721,536","-3,210,554","-3,798,648","-1,717,016","-23,748,140","-2,829,762","-2,220,435","-2,146,550","-2,654,644","-2,791,677",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"21,161,143","1,958,245","1,219,139","298,829","298,280","276,454","116,259","25,591","16,456","15,754","15,754","15,786","15,751","10,761",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"21,161,143","1,958,245","1,219,139","298,829","298,280","276,454","116,259","25,591","16,456","15,754","15,754","15,786","15,751","10,761",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),6994.389%,608.344%,948.641%,1067.711%,1712.591%,1654.818%,637.965%,62.112%,4.476%,46.399%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.187,-1.826,-3.116,-10.794,-6.611,-4.002,-12.100,-99.598,-177.232,-181.606,-172.752,-203.380,-241.169,-159.559,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.187,-1.826,-3.116,-10.794,-6.611,-4.002,-12.100,-99.598,-177.232,-181.606,-172.752,-203.380,-241.169,-159.559,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,087,298","-3,031,089","-5,165,580","-1,174,540","-2,081,154","-922,966","-1,724,872","-1,684,780","-3,330,905","-3,431,209","-2,944,000","-2,770,153","-3,023,188","-1,846,973","-3,221,141","-1,990,936","-2,385,445","-2,228,936","-2,671,029","-1,726,257",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.146,-1.548,-4.237,-3.930,-6.977,-3.339,-14.836,-65.835,-202.413,-217.799,-186.873,-175.482,-191.936,-171.636,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-4,616,988","-3,670,128","-3,906,433","-3,336,231","-2,116,410","-1,235,160","-1,538,570","-2,553,279","-2,916,278","-2,860,657","-2,717,286","-2,010,710","-3,801,279","-1,963,609","-23,748,527","-2,832,300","-2,224,175","-2,143,006","-2,664,372","-2,812,109",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,893","1,893","1,893","4,706",969,"1,000",895,"1,345","1,210","1,235","1,353","1,079","1,011",891,"1,135",979,948,"1,037","1,113","1,308",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,618,881","-3,672,021","-3,908,326","-3,340,937","-2,117,379","-1,236,160","-1,539,465","-2,554,624","-2,917,488","-2,861,892","-2,718,639","-2,011,789","-3,802,290","-1,964,500","-23,749,662","-2,833,279","-2,225,123","-2,144,043","-2,665,485","-2,813,417",Upgrade,Financials in USD,Fiscal year is January - December
