Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,-,-,-,"1,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"1,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","30,413,000","39,061,000","22,412,000","19,549,000","8,996,000","8,663,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"69,567,000","63,497,000","39,617,000","31,311,000","28,029,000","26,534,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"99,980,000","102,558,000","62,029,000","50,860,000","37,025,000","35,197,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-99,980,000","-102,558,000","-62,029,000","-49,860,000","-37,025,000","-35,197,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,479,000","12,901,000","2,110,000","170,000","55,000","1,204,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-303,000","-314,000","-68,000","40,000","99,000","154,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-87,804,000","-89,971,000","-59,987,000","-49,650,000","-36,871,000","-33,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"7,814,000","-35,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-87,804,000","-89,971,000","-59,987,000","-49,650,000","-29,057,000","-68,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"269,000","239,000","358,000","508,000","813,000","-20,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-88,073,000","-90,210,000","-60,345,000","-50,158,000","-29,870,000","-68,819,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"518,000","208,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-88,073,000","-90,210,000","-60,345,000","-50,158,000","-29,352,000","-68,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-88,073,000","-90,210,000","-60,345,000","-50,158,000","-29,352,000","-68,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"74,762,137","71,259,239","36,033,045","22,705,948","285,162","183,262",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"74,762,137","71,259,239","36,033,045","22,705,948","285,162","183,262",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.755%,97.761%,58.694%,7862.473%,55.603%,145.814%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.178,-1.266,-1.675,-2.209,-102.931,-374.387,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.178,-1.266,-1.675,-2.209,-102.931,-374.387,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-74,834,000","-67,442,000","-49,384,000","-42,167,000","-30,393,000","-67,122,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.001,-0.946,-1.371,-1.857,-106.582,-366.263,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-4986.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-5015.800%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-4216.700%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-99,655,000","-102,266,000","-61,545,000","-49,348,000","-36,631,000","-35,002,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"325,000","292,000","484,000","512,000","394,000","195,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-99,980,000","-102,558,000","-62,029,000","-49,860,000","-37,025,000","-35,197,000",Upgrade,Financials in USD,Fiscal year is January - December
