Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,"1,000,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,"1,000,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,770,000","7,185,000","6,859,000","6,599,000","18,353,000","7,008,000","7,101,000","6,170,000","5,131,000","5,422,000","5,689,000","5,416,000","4,715,000","4,857,000","4,561,000","998,000","3,333,000","2,486,000","2,179,000","2,388,000",Financials in USD,Fiscal year is January - December
Research & Development,"15,169,000","18,352,000","18,587,000","17,459,000","14,831,000","14,151,000","17,056,000","10,658,000","12,161,000","8,662,000","8,136,000","9,462,000","7,153,000","5,961,000","8,735,000","7,770,000","5,404,000","7,611,000","7,244,000","-27,444,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"24,939,000","25,537,000","25,446,000","24,058,000","33,184,000","21,159,000","24,157,000","16,828,000","17,292,000","14,084,000","13,825,000","14,878,000","11,868,000","10,818,000","13,296,000","8,768,000","8,737,000","10,097,000","9,423,000","-25,056,000",Financials in USD,Fiscal year is January - December
Operating Income,"-24,939,000","-25,537,000","-25,446,000","-24,058,000","-33,184,000","-21,159,000","-24,157,000","-16,828,000","-17,292,000","-14,084,000","-13,825,000","-13,878,000","-11,868,000","-10,818,000","-13,296,000","-8,768,000","-8,737,000","-10,097,000","-9,423,000","25,056,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,088,000","2,876,000","3,182,000","3,333,000","3,480,000","3,395,000","2,693,000","1,328,000","499,000","214,000","69,000","55,000","49,000","55,000","11,000","2,000","1,000","2,000","50,000","107,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-346,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-32,000","-14,000","-12,000","-245,000","-5,000","-60,000","-4,000","-4,000","-14,000","-54,000","4,000","10,000","4,000","39,000","-13,000","69,000","-387,000","250,000","167,000","139,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-21,883,000","-22,675,000","-22,276,000","-20,970,000","-29,709,000","-17,824,000","-21,468,000","-15,504,000","-16,807,000","-13,924,000","-13,752,000","-13,813,000","-11,815,000","-10,724,000","-13,298,000","-8,697,000","-9,123,000","-9,845,000","-9,206,000","24,956,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,180,000","-2,366,000",-,-,"-35,000,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-21,883,000","-22,675,000","-22,276,000","-20,970,000","-29,709,000","-17,824,000","-21,468,000","-15,504,000","-16,807,000","-13,924,000","-13,752,000","-13,813,000","-11,815,000","-10,724,000","-13,298,000","1,483,000","-11,489,000","-9,845,000","-9,206,000","-10,044,000",Financials in USD,Fiscal year is January - December
