Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"83,879,000","73,466,000","63,474,000","43,971,000","165,815,000","16,074,000","7,803,000","80,000","94,000","594,000","2,016,000","2,321,000","2,030,000","1,545,000","793,000","38,000","38,000","38,000","38,000","38,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-49.414%,357.049%,713.456%,54863.750%,176298.936%,2606.061%,287.054%,-96.553%,-95.369%,-61.553%,154.224%,6007.895%,5242.105%,3965.789%,1986.842%,0%,0%,0%,0%,0%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,341,000","8,304,000","5,441,000","7,854,000","3,509,000","1,911,000","857,000","3,000","2,000","23,000","237,000","210,000","292,000","148,000","139,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"74,538,000","65,162,000","58,033,000","36,117,000","162,306,000","14,163,000","6,946,000","77,000","92,000","571,000","1,779,000","2,111,000","1,738,000","1,397,000","654,000","38,000","38,000","38,000","38,000","38,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","41,966,000","38,790,000","34,581,000","31,153,000","32,769,000","30,715,000","28,068,000","22,504,000","14,254,000","12,638,000","20,609,000","32,412,000","34,899,000","34,017,000","26,762,000","43,859,000","35,296,000","14,434,000","14,261,000","7,056,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"20,138,000","17,556,000","32,722,000","17,449,000","14,753,000","28,122,000","15,870,000","29,635,000","20,801,000","26,874,000","48,042,000","62,646,000","51,967,000","44,871,000","63,094,000","42,961,000","50,464,000","36,449,000","36,022,000","30,943,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"62,104,000","56,346,000","67,303,000","48,602,000","47,522,000","58,837,000","43,938,000","52,139,000","35,055,000","39,512,000","68,651,000","95,058,000","86,866,000","78,888,000","89,856,000","86,820,000","85,760,000","50,883,000","50,283,000","37,999,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"12,434,000","8,816,000","-9,270,000","-12,485,000","114,784,000","-44,674,000","-36,992,000","-52,062,000","-34,963,000","-38,941,000","-66,872,000","-92,947,000","-85,128,000","-77,491,000","-89,202,000","-86,782,000","-85,722,000","-50,845,000","-50,245,000","-37,961,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-10,832,000","-3,977,000","-2,288,000","-2,431,000","-3,713,000","-3,627,000","-2,844,000","-2,862,000","-1,648,000","-3,017,000","-2,664,000","-1,079,000","-1,038,000","-1,623,000","-1,898,000","-1,291,000","-1,610,000","-2,228,000","-1,201,000","-1,899,000",Upgrade,Financials in USD,Fiscal year is January - December
