Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","5,818,121","5,895,585","4,603,514","1,365,214","671,879","625,807",Financials in USD,Fiscal year is January - December
Research & Development,"5,299,363","3,559,635","2,278,424","1,842,803","847,272","368,732",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,117,484","9,455,220","6,881,938","3,208,017","1,519,151","994,539",Financials in USD,Fiscal year is January - December
Operating Income,"-11,117,484","-9,455,220","-6,881,938","-3,208,017","-1,519,151","-994,539",Financials in USD,Fiscal year is January - December
Interest Expense,"-13,280","-16,505","-1,591,244","-831,277","-246,534","-75,074",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"279,969","152,631",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,850,795","-9,319,094","-8,473,182","-4,039,294","-1,765,685","-1,069,613",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,832,651","-362,486","-26,458",Financials in USD,Fiscal year is January - December
Pretax Income,"-10,850,795","-9,319,094","-8,473,182","-2,206,643","-2,417,371","-1,525,474",Financials in USD,Fiscal year is January - December
Net Income,"-10,850,795","-9,319,094","-8,473,182","-2,206,643","-2,417,371","-1,525,474",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,850,795","-9,319,094","-8,473,182","-2,206,643","-2,417,371","-1,525,474",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"907,703","87,029","30,179","16,953","16,926","10,971",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"907,703","87,029","30,179","16,953","16,926","10,971",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2357.502%,188.376%,78.016%,0.160%,54.279%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-11.954,-107.080,-280.764,-130.162,-142.820,-139.046,Financials in USD,Fiscal year is January - December
EPS (Diluted),-11.954,-107.080,-280.764,-130.162,-142.820,-139.046,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,283,771","-7,300,106","-6,557,950","-1,086,244","-1,078,432","-706,113",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-10.228,-83.881,-217.302,-64.074,-63.715,-64.362,Financials in USD,Fiscal year is January - December
EBIT,"-11,117,484","-9,455,220","-6,881,938","-3,208,017","-1,519,151","-994,539",Financials in USD,Fiscal year is January - December
