Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","20,957,000","19,990,000","13,301,000","3,256,000","1,166,000",Financials in USD,Fiscal year is January - December
Research & Development,"31,881,000","23,964,000","24,407,000","15,748,000","9,953,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"52,838,000","43,954,000","37,708,000","19,004,000","11,119,000",Financials in USD,Fiscal year is January - December
Operating Income,"-52,838,000","-43,954,000","-37,708,000","-19,004,000","-11,119,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-2,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"13,672,000","13,130,000","2,555,000","5,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-39,198,000","-30,824,000","-35,155,000","-18,999,000","-11,119,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-10,610,000","-1,688,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-39,198,000","-30,824,000","-35,155,000","-29,609,000","-12,807,000",Financials in USD,Fiscal year is January - December
Net Income,"-39,198,000","-30,824,000","-35,155,000","-29,609,000","-12,807,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-39,198,000","-30,824,000","-35,155,000","-29,609,000","-12,807,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,493,239","39,645,392","14,353,102","4,043,416","3,668,084",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,493,239","39,645,392","14,353,102","4,043,416","3,668,084",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.315%,176.215%,254.975%,10.232%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.968,-0.777,-2.449,-7.323,-3.491,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.968,-0.777,-2.449,-7.323,-3.491,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-28,881,000","-20,594,000","-34,953,000","-15,746,000","-9,187,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.713,-0.519,-2.435,-3.894,-2.505,Financials in USD,Fiscal year is January - December
EBITDA,"-52,789,000","-43,919,000","-37,707,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"49,000","35,000","1,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-52,838,000","-43,954,000","-37,708,000","-19,004,000","-11,119,000",Financials in USD,Fiscal year is January - December
