Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"52,000","42,000","44,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"52,000","42,000","44,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,707,000","10,706,000","12,424,000","14,602,000","11,941,000","11,518,000","13,222,000","20,013,000","16,989,000","17,224,000","15,112,000","14,175,000","13,960,000","14,195,000","8,979,000","7,230,000","1,955,000","1,498,000","1,000,000",Financials in USD,Fiscal year is January - December
Research & Development,"562,000","2,921,000","7,256,000","1,637,000","8,492,000","8,459,000","20,670,000","16,498,000","39,660,000","41,500,000","39,520,000","39,283,000","29,064,000","21,186,000","14,204,000","9,582,000","4,908,000","2,237,000","2,007,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,269,000","13,627,000","19,680,000","16,239,000","20,433,000","19,977,000","33,892,000","36,511,000","56,649,000","58,724,000","54,632,000","53,458,000","43,024,000","35,381,000","23,183,000","16,812,000","6,863,000","3,735,000","3,007,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,269,000","-13,627,000","-19,680,000","-16,239,000","-20,433,000","-19,977,000","-33,892,000","-36,511,000","-56,649,000","-58,724,000","-54,632,000","-53,458,000","-43,024,000","-35,381,000","-23,183,000","-16,812,000","-6,811,000","-3,693,000","-2,963,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,007,000","-1,999,000","-1,981,000","-1,980,000","-2,003,000","-590,000","-636,000","-745,000","-807,000","-331,000",-,-,-,-,-,-,-,"-4,609,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,654,000","1,919,000","2,062,000","2,195,000","2,313,000","2,287,000","2,071,000","1,796,000","1,276,000","486,000","97,000","35,000","22,000","15,000",-,"4,386,000","449,000",-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-156,000",Financials in USD,Fiscal year is January - December
