Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+10 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+10 Quarters,,
Revenue,"188,963,000","175,001,000","140,856,500","140,856,500","119,556,000","101,278,000","68,024,500","68,024,500","12,023,500","12,023,500","2,343,000","2,343,000","1,455,000","1,455,000","1,803,000","1,803,000","803,500","803,500","834,000","834,000",Upgrade,Financials in AUD,Fiscal year is January - December
Revenue Growth (YoY),58.054%,72.793%,107.067%,107.067%,894.353%,742.334%,2803.308%,2803.308%,726.357%,726.357%,29.950%,29.950%,81.083%,81.083%,116.187%,116.187%,-11.558%,-11.558%,755.385%,755.385%,Upgrade,Financials in AUD,Fiscal year is January - December
Cost of Revenue,"78,629,000","59,636,000","54,189,000","54,189,000","47,625,000","38,468,000","27,301,000","27,301,000","5,284,000","5,284,000","836,500","836,500","437,500","437,500","553,500","553,500","458,500","458,500","907,000","907,000",Upgrade,Financials in AUD,Fiscal year is January - December
Gross Profit,"110,334,000","115,365,000","86,667,500","86,667,500","71,931,000","62,810,000","40,723,500","40,723,500","6,739,500","6,739,500","1,506,500","1,506,500","1,017,500","1,017,500","1,249,500","1,249,500","345,000","345,000","-73,000","-73,000",Upgrade,Financials in AUD,Fiscal year is January - December
"Selling, General & Admin","49,355,000","45,949,000","28,983,500","28,983,500","27,708,000","26,778,000","18,853,500","18,853,500","24,695,500","24,695,500","14,918,000","14,918,000","8,575,000","8,575,000","7,308,000","7,308,000","4,929,500","4,929,500","4,345,000","4,345,000",Upgrade,Financials in AUD,Fiscal year is January - December
Research & Development,"45,783,000","38,407,000","49,198,500","49,198,500","26,787,000","21,939,000","28,082,500","28,082,500","12,421,500","12,421,500","10,232,500","10,232,500","6,835,000","6,835,000","7,240,000","7,240,000","4,302,500","4,302,500","6,661,000","6,661,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Operating Expenses,"-2,744,000","2,498,000","-96,500","-96,500","-19,142,000","19,685,000","463,000","463,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is January - December
Operating Expenses,"92,394,000","86,854,000","76,488,500","76,488,500","35,353,000","68,402,000","46,038,500","46,038,500","38,477,500","38,477,500","26,464,500","26,464,500","16,683,000","16,683,000","15,821,500","15,821,500","10,399,500","10,399,500","11,962,500","11,962,500",Upgrade,Financials in AUD,Fiscal year is January - December
Operating Income,"17,940,000","28,511,000","10,179,000","10,179,000","36,578,000","-5,592,000","-5,315,000","-5,315,000","-31,738,000","-31,738,000","-24,958,000","-24,958,000","-15,665,500","-15,665,500","-14,572,000","-14,572,000","-10,054,500","-10,054,500","-12,035,500","-12,035,500",Upgrade,Financials in AUD,Fiscal year is January - December
Interest Expense,-,"-3,735,000","-214,000","-214,000",-,"-2,855,000","-107,000","-107,000","-54,500","-54,500","-44,500","-44,500","-37,000","-37,000","-47,500","-47,500","-48,000","-48,000","-42,000","-42,000",Upgrade,Financials in AUD,Fiscal year is January - December
Interest & Investment Income,"3,875,000","763,000","283,000","283,000","2,820,000","132,000",-,-,500,500,-,-,-,-,"9,500","9,500","24,000","24,000","21,000","21,000",Upgrade,Financials in AUD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-45,000",-,"297,000","297,000","-1,562,000",-,"-1,461,500","-1,461,500","903,000","903,000","807,500","807,500","41,500","41,500","-2,265,000","-2,265,000","296,500","296,500","-257,000","-257,000",Upgrade,Financials in AUD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-8,208,000",-,"-3,611,000","-3,611,000","-5,767,000",-,"-1,581,500","-1,581,500","-1,603,500","-1,603,500","5,917,000","5,917,000","1,134,000","1,134,000","3,573,500","3,573,500","2,479,500","2,479,500","3,174,500","3,174,500",Upgrade,Financials in AUD,Fiscal year is January - December
EBT Excluding Unusual Items,"13,562,000","25,539,000","6,934,000","6,934,000","32,069,000","-8,315,000","-8,465,000","-8,465,000","-32,492,500","-32,492,500","-18,278,000","-18,278,000","-14,527,000","-14,527,000","-13,301,500","-13,301,500","-7,302,500","-7,302,500","-9,139,000","-9,139,000",Upgrade,Financials in AUD,Fiscal year is January - December
