Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"11,607,000","19,875,000","6,471,000","5,431,000","10,732,000","14,598,000","5,766,000","6,411,000","6,920,000","5,771,000","5,758,000","5,716,000","6,787,000","18,153,000","6,386,000","9,142,000","-11,261,000","5,064,000","4,711,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),8.153%,36.149%,12.227%,-15.286%,55.087%,152.954%,0.139%,12.159%,1.960%,-68.209%,-9.834%,-37.475%,-,258.472%,35.555%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"33,263,000","38,654,000","38,065,000","31,339,000","27,149,000","28,671,000","28,039,000","29,091,000","28,744,000","23,741,000","24,330,000","21,634,000","21,923,000","19,079,000","15,000,000","15,063,000","12,977,000","11,129,000","10,822,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-21,656,000","-18,779,000","-31,594,000","-25,908,000","-16,417,000","-14,073,000","-22,273,000","-22,680,000","-21,824,000","-17,970,000","-18,572,000","-15,918,000","-15,136,000","-926,000","-8,614,000","-5,921,000","-24,238,000","-6,065,000","-6,111,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,222,000","10,773,000","10,661,000","9,105,000","9,209,000","9,174,000","8,013,000","7,887,000","8,099,000","7,232,000","6,807,000","6,066,000","4,433,000","3,630,000","3,467,000","3,016,000","2,518,000","2,378,000","1,953,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,222,000","10,773,000","10,661,000","9,105,000","9,209,000","9,174,000","8,013,000","7,887,000","8,099,000","7,232,000","6,807,000","6,066,000","4,433,000","3,630,000","3,467,000","3,016,000","2,518,000","2,378,000","1,953,000",Financials in USD,Fiscal year is January - December
Operating Income,"-32,878,000","-29,552,000","-42,255,000","-35,013,000","-25,626,000","-23,247,000","-30,286,000","-30,567,000","-29,923,000","-25,202,000","-25,379,000","-21,984,000","-19,569,000","-4,556,000","-12,081,000","-8,937,000","-26,756,000","-8,443,000","-8,064,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-50,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,809,000","2,071,000","2,197,000","2,236,000","1,872,000","1,450,000","1,061,000","591,000","350,000","297,000","218,000","196,000","91,000","104,000","104,000","71,000",-,"27,000","60,000",Financials in USD,Fiscal year is January - December
