Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","6,361,000","8,174,000","8,707,000","8,581,000","7,829,000","8,627,000","8,118,000","8,802,000","7,540,000","7,743,000","6,999,000","5,211,000","5,356,000","4,331,000","3,515,000","1,958,000","1,972,000","1,914,000","1,969,000",Financials in USD,Fiscal year is January - December
Research & Development,"20,350,000","22,649,000","25,055,000","22,865,000","23,091,000","26,477,000","25,605,000","25,748,000","23,758,000","20,876,000","24,155,000","20,953,000","12,944,000","10,906,000","9,590,000","8,364,000","8,480,000","6,958,000","7,297,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"26,711,000","30,823,000","33,762,000","31,446,000","30,920,000","35,104,000","33,723,000","34,550,000","31,298,000","28,619,000","31,154,000","26,164,000","18,300,000","15,237,000","13,105,000","10,322,000","10,452,000","8,872,000","9,266,000",Financials in USD,Fiscal year is January - December
Operating Income,"-26,711,000","-30,823,000","-33,762,000","-31,446,000","-30,920,000","-35,104,000","-33,723,000","-34,550,000","-31,298,000","-28,619,000","-31,154,000","-26,164,000","-18,300,000","-15,237,000","-13,105,000","-10,322,000","-10,452,000","-8,872,000","-9,266,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,080,000","1,393,000","1,452,000","1,470,000","1,776,000","1,837,000","1,973,000","1,037,000","596,000","222,000","99,000","67,000","23,000","9,000","9,000","5,000","7,000","18,000","57,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,000","-1,000","82,000","41,000","1,000","-2,000","13,000","-3,000","6,000",-,"-1,000","-58,000","15,000","18,000","-2,000","-3,000","-1,000","180,000","212,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-25,634,000","-29,431,000","-32,228,000","-29,935,000","-29,143,000","-33,269,000","-31,737,000","-33,516,000","-30,696,000","-28,397,000","-31,056,000","-26,155,000","-18,262,000","-15,210,000","-13,098,000","-10,320,000","-10,446,000","-8,674,000","-8,997,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,"4,000",-,-,-,"2,000",-,-,"-35,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"151,000","-57,000","-19,000",Financials in USD,Fiscal year is January - December
