Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","6,870,000","7,780,000","7,567,000","6,474,000","5,029,000","4,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"13,341,000","14,311,000","11,723,000","7,800,000","5,131,000","11,083,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,211,000","22,091,000","19,290,000","14,274,000","10,160,000","15,663,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-20,211,000","-22,091,000","-19,290,000","-14,274,000","-10,160,000","-15,663,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"871,000","1,439,000","512,000","6,000","44,000","283,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-3,000","3,000","-41,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,343,000","-20,649,000","-18,819,000","-14,268,000","-10,116,000","-15,380,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-200,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-853,000","660,000","-2,091,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-27,115,000","-19,989,000","-21,110,000","-14,268,000","-10,116,000","-15,380,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-424,000","-1,640,000","-1,425,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-26,691,000","-18,349,000","-19,685,000","-14,268,000","-10,116,000","-15,380,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,"1,000","73,000","77,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-26,691,000","-18,349,000","-19,685,000","-14,267,000","-10,043,000","-15,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"340,000","8,922,000","2,514,000","773,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-26,691,000","-18,349,000","-20,025,000","-23,189,000","-12,557,000","-16,076,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"820,638","644,281","613,093","487,500","76,045","65,753",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"820,638","644,281","613,093","487,500","76,045","65,753",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.986%,5.087%,25.763%,541.068%,15.653%,163.751%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-32.525,-28.480,-32.662,-47.567,-165.126,-244.491,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-32.525,-28.480,-32.662,-47.567,-165.126,-244.491,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-18,844,000","-19,198,000","-19,198,000","-12,904,000","-12,177,000","-13,873,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-22.963,-29.798,-31.313,-26.470,-160.129,-210.987,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-20,062,000","-21,956,000","-19,205,000","-14,187,000","-9,959,000","-15,423,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"149,000","135,000","85,000","87,000","201,000","240,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-20,211,000","-22,091,000","-19,290,000","-14,274,000","-10,160,000","-15,663,000",Upgrade,Financials in USD,Fiscal year is January - December
