Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
"Selling, General & Admin","11,647,000","10,240,000","10,073,000","9,492,000","10,161,000","7,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"36,567,000","23,683,000","19,834,000","22,984,000","22,328,000","19,339,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"48,214,000","33,923,000","29,907,000","32,476,000","32,489,000","26,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-48,214,000","-33,923,000","-29,907,000","-32,476,000","-32,489,000","-26,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-7,000","-391,000","-1,163,000","-1,202,000","-456,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,896,000","4,748,000","1,740,000","10,000","178,000","792,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-20,000","469,000","142,000","-293,000","-9,000","-215,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-44,345,000","-29,097,000","-29,188,000","-33,961,000","-32,776,000","-26,068,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-44,345,000","-29,097,000","-29,188,000","-33,961,000","-32,776,000","-26,068,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-28,000","-32,000","-36,000","-21,000","-18,000","-18,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-44,317,000","-29,065,000","-29,152,000","-33,940,000","-32,758,000","-26,050,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"704,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-44,317,000","-29,065,000","-29,152,000","-33,940,000","-32,758,000","-26,754,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"100,334,795","99,033,373","64,541,911","22,841,481","18,059,011","11,735,781",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"100,334,795","99,033,373","64,541,911","22,841,481","18,059,011","11,735,781",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.568%,53.440%,182.564%,26.482%,53.880%,2581.790%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.442,-0.293,-0.452,-1.486,-1.814,-2.280,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.444,-0.293,-0.452,-1.486,-1.814,-2.280,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-35,115,000","-31,847,000","-28,334,000","-28,946,000","-29,032,000","-23,102,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.350,-0.322,-0.439,-1.267,-1.608,-1.969,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-48,070,000","-33,800,000","-29,864,000","-32,426,000","-32,442,000","-26,606,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"144,000","123,000","43,000","50,000","47,000","39,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-48,214,000","-33,923,000","-29,907,000","-32,476,000","-32,489,000","-26,645,000",Upgrade,Financials in USD,Fiscal year is January - December
