Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"9,915,000","15,451,000","2,502,000",-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-30.901%,517.546%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"9,915,000","15,451,000","2,502,000",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","28,828,000","30,047,000","37,360,000","41,324,000","11,109,000","512,000",Financials in USD,Fiscal year is January - December
Research & Development,"63,573,000","56,778,000","91,169,000","131,943,000","31,893,000","3,948,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"92,401,000","86,825,000","128,529,000","173,267,000","43,002,000","4,460,000",Financials in USD,Fiscal year is January - December
Operating Income,"-82,486,000","-71,374,000","-126,027,000","-173,267,000","-43,002,000","-4,460,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-793,000","-4,998,000","-3,798,000","-1,428,000","-28,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,161,000","3,572,000","249,000","172,000","49,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"60,031,000","-36,303,000","-18,000",-,"-17,030,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,087,000","-109,103,000","-129,594,000","-174,523,000","-60,011,000","-4,460,000",Financials in USD,Fiscal year is January - December
Asset Writedown,"-5,287,000","-1,065,000","-36,420,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,398,000","-1,398,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-22,772,000","-111,566,000","-166,014,000","-174,523,000","-60,011,000","-4,460,000",Financials in USD,Fiscal year is January - December
Net Income,"-22,772,000","-111,566,000","-166,014,000","-174,523,000","-60,011,000","-4,460,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-22,772,000","-111,566,000","-166,014,000","-174,523,000","-60,011,000","-4,460,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"235,687,428","116,121,482","43,952,015","37,650,566","17,665,683","9,625,679",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"235,687,428","116,121,482","43,952,015","37,650,566","17,665,683","9,625,679",Financials in USD,Fiscal year is January - December
Shares Change (YoY),203.706%,164.201%,16.737%,113.128%,83.527%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.097,-0.961,-3.777,-4.635,-3.397,-0.463,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.097,-0.961,-3.780,-4.635,-3.397,-0.463,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-79,427,000","-76,887,000","-109,009,000","-132,346,000","-30,811,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.337,-0.662,-2.480,-3.515,-1.744,-,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-831.931%,-461.938%,-5037.050%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-229.672%,-722.063%,-6635.252%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-801.079%,-497.618%,-4356.875%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-81,179,000","-70,003,000","-124,855,000","-172,775,000","-42,993,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,307,000","1,371,000","1,172,000","492,000","9,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-82,486,000","-71,374,000","-126,027,000","-173,267,000","-43,002,000","-4,460,000",Financials in USD,Fiscal year is January - December
