Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","5,907,000","5,535,000","5,119,000","4,957,000","4,692,000","3,852,000","3,926,000","4,618,000","2,730,000","3,381,000","5,189,000","2,682,000","1,154,000","1,127,000","689,000","749,000","470,000","412,000","463,000",Financials in USD,Fiscal year is January - December
Research & Development,"22,697,000","17,997,000","17,203,000","20,677,000","19,271,000","12,162,000","10,408,000","10,400,000","10,915,000","12,047,000","9,645,000","7,250,000","5,484,000","4,381,000","3,522,000","2,928,000","1,862,000","1,420,000","993,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"28,604,000","23,532,000","22,322,000","25,634,000","23,963,000","16,014,000","14,334,000","15,018,000","13,645,000","15,428,000","14,834,000","9,932,000","6,638,000","5,508,000","4,211,000","3,677,000","2,332,000","1,832,000","1,456,000",Financials in USD,Fiscal year is January - December
Operating Income,"-28,604,000","-23,532,000","-22,322,000","-25,634,000","-23,963,000","-16,014,000","-14,334,000","-15,018,000","-13,645,000","-15,428,000","-14,834,000","-9,932,000","-6,638,000","-5,508,000","-4,211,000","-3,677,000","-2,332,000","-1,832,000","-1,456,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,588,000","4,830,000","4,130,000","2,815,000","2,811,000","2,742,000","2,454,000","2,156,000","1,131,000","346,000","18,000","5,000","2,000","4,000","2,000",-,-,"1,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-11,000",-,-,-,"-33,000","5,000","-13,000","-10,000","-3,000","-7,000","-8,000",-,"-6,000","-7,000","-7,000","-18,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-24,016,000","-18,702,000","-18,192,000","-22,830,000","-21,152,000","-13,272,000","-11,880,000","-12,895,000","-12,509,000","-15,095,000","-14,826,000","-9,930,000","-6,643,000","-5,512,000","-4,209,000","-3,685,000","-2,339,000","-1,838,000","-1,474,000",Financials in USD,Fiscal year is January - December
Net Income,"-24,016,000","-18,702,000","-18,192,000","-22,830,000","-21,152,000","-13,272,000","-11,880,000","-12,895,000","-12,509,000","-15,095,000","-14,826,000","-9,930,000","-6,643,000","-5,512,000","-4,209,000","-3,685,000","-2,339,000","-1,838,000","-1,474,000",Financials in USD,Fiscal year is January - December
