Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,-,-,-,-,-,-,"675,000",-,"951,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,"675,000",-,"951,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,206,000","2,533,000","2,392,000","2,080,000","2,566,000","2,055,000","1,847,000","1,485,000","1,702,000","1,776,000","1,604,000","1,391,000","939,000","286,000","281,000","335,000","322,000","154,000","194,000","325,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,045,000","4,868,000","6,813,000","4,233,000","3,372,000","2,267,000","3,030,000","3,840,000","4,803,000","1,860,000","1,933,000","1,361,000","3,776,000","493,000","450,000","382,000","304,000","182,000","148,000","376,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,251,000","7,401,000","9,205,000","6,313,000","5,938,000","4,322,000","4,877,000","5,325,000","6,505,000","3,636,000","3,537,000","2,752,000","4,715,000","779,000","731,000","717,000","626,000","336,000","342,000","701,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,251,000","-7,401,000","-9,205,000","-6,313,000","-5,938,000","-4,322,000","-4,202,000","-5,325,000","-5,554,000","-3,636,000","-3,537,000","-2,752,000","-4,715,000","-779,000","-731,000","-717,000","-626,000","-336,000","-342,000","-701,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-15,000","-16,000","-20,000","-19,000","-18,000","-32,000","-12,000","-3,000","-3,000",-,-,-,"-55,000","-321,000","-252,000","-163,000","-76,000","-2,000","-2,000","-1,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"416,000","462,000","70,000","140,000","227,000","234,000","14,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,754,000","16,810,000","-11,808,000","-1,606,000","1,396,000","282,000","-10,375,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
