Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,"2,207,000","2,380,000","1,212,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),82.096%,96.370%,-,Financials in USD,Fiscal year is January - December
Gross Profit,"2,207,000","2,380,000","1,212,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,236,000","10,695,000","6,464,000",Financials in USD,Fiscal year is January - December
Research & Development,"52,747,000","31,799,000","18,657,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"67,983,000","42,494,000","25,121,000",Financials in USD,Fiscal year is January - December
Operating Income,"-65,776,000","-40,114,000","-23,909,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,566,000","4,165,000","205,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,813,000","15,412,000","-164,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-53,397,000","-20,537,000","-23,868,000",Financials in USD,Fiscal year is January - December
Net Income,"-53,397,000","-20,537,000","-23,868,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"16,192,000","17,718,000",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-69,589,000","-38,255,000","-23,868,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,864,109","2,815,786","2,800,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,864,109","2,815,786","2,800,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.290%,0.564%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-24.297,-13.586,-8.524,Financials in USD,Fiscal year is January - December
EPS (Diluted),-24.297,-13.586,-8.524,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-55,996,000","-38,070,000","-19,103,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-19.551,-13.520,-6.822,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-2980.335%,-1685.462%,-1972.690%,Financials in USD,Fiscal year is January - December
Profit Margin,-3153.104%,-1607.353%,-1969.307%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2537.200%,-1599.580%,-1576.155%,Financials in USD,Fiscal year is January - December
EBITDA,"-65,722,000","-40,054,000","-23,902,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"54,000","60,000","7,000",Financials in USD,Fiscal year is January - December
EBIT,"-65,776,000","-40,114,000","-23,909,000",Financials in USD,Fiscal year is January - December
