Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"44,196,000","36,130,000","32,149,000","38,494,000","36,465,000","37,565,000","32,100,000","40,376,000","41,086,000","17,173,000","16,162,000","17,515,000","13,707,000","15,638,000","16,124,000","7,090,000","10,941,000","12,687,000","35,220,000","44,802,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,"1,628,000","1,930,000","604,000","3,404,000","1,606,000","-3,021,000","1,408,000","160,425,000","115,575,000","-35,179,000","5,685,000","260,724,000","8,638,000","8,648,000","7,092,000","44,383,000",-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"45,824,000","38,060,000","32,753,000","41,898,000","38,071,000","34,544,000","33,508,000","200,801,000","156,661,000","-18,006,000","21,847,000","278,239,000","22,345,000","24,286,000","23,216,000","51,473,000","10,941,000","12,687,000","35,220,000","44,802,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),20.365%,10.178%,-2.253%,-79.135%,-75.698%,-,53.376%,-27.831%,601.101%,-,-5.897%,440.553%,104.232%,91.424%,-34.083%,14.890%,-59.301%,-35.452%,1.044%,29.086%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"44,562,000","40,020,000","35,291,000","43,739,000","63,192,000","45,271,000","34,545,000","151,252,000","54,749,000","136,930,000","34,549,000","84,383,000","163,305,000","71,133,000","42,382,000","49,740,000","34,829,000","30,261,000","25,366,000","32,048,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"1,262,000","-1,960,000","-2,538,000","-1,841,000","-25,121,000","-10,727,000","-1,037,000","49,549,000","101,912,000","-154,936,000","-12,702,000","193,856,000","-140,960,000","-46,847,000","-19,166,000","1,733,000","-23,888,000","-17,574,000","9,854,000","12,754,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","22,244,000","23,025,000","23,003,000","27,566,000","26,077,000","23,884,000","19,024,000","21,226,000","12,488,000","16,064,000","7,804,000","24,585,000","16,117,000","15,596,000","14,951,000","12,842,000","12,396,000","9,425,000","11,236,000","12,640,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,-,-,-,-,"-25,978,000",-,-,-,-,"51,883,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-8,581,000","87,441,000","-93,750,000","1,879,000","-10,224,000","-10,600,000","-3,488,000","-4,765,000","-3,829,000","-1,559,000","-2,084,000","-4,384,000","-5,624,000","-7,431,000","-2,979,000","-8,484,000","-3,479,000","-4,270,000","-2,190,000","-4,401,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"13,663,000","110,466,000","-70,747,000","29,445,000","-10,125,000","13,284,000","15,536,000","16,461,000","8,659,000","66,388,000","5,720,000","20,201,000","10,493,000","8,165,000","11,972,000","4,358,000","7,477,000","4,434,000","9,767,000","8,239,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-12,401,000","-112,426,000","68,209,000","-31,286,000","-14,996,000","-24,011,000","-16,573,000","33,088,000","93,253,000","-221,324,000","-18,422,000","173,655,000","-151,453,000","-55,012,000","-31,138,000","-2,625,000","-31,365,000","-22,008,000","87,000","4,515,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-5,732,000","-4,936,000","-7,045,000","-10,848,000","-3,598,000","-3,783,000","-5,096,000","-5,659,000","-5,196,000","-3,481,000","-4,718,000","-4,827,000","-3,706,000","-11,291,000","-4,607,000","-3,688,000","-3,592,000","-1,643,000","-2,369,000","-822,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"529,000","521,000","266,000","486,000","220,000","251,000","253,000","201,000","24,000","22,000","13,000","9,000","12,000",-,"7,695,000","21,000",-,-,"176,000","31,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,"9,000",-,"115,000","-30,000","-71,000","-19,000","-117,000","-106,000","201,000","-111,000","-121,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"4,697,000","860,000","-2,512,000","7,015,000","-5,958,000","1,347,000","3,170,000","13,905,000","-15,835,000","-8,245,000","-2,412,000","2,796,000","-3,401,000","8,735,000",-,"4,173,000","-1,800,000","-2,200,000",-,"-481,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,000","1,000","-1,000","-1,000","1,000","1,000","-1,000",-,"1,000","-1,000",-,"1,000","2,000","-1,000","-1,000","200,000","198,000","476,000",-,"11,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,908,000","-115,980,000","58,917,000","-34,634,000","-24,331,000","-26,195,000","-18,247,000","41,535,000","72,247,000","-233,020,000","-25,539,000","171,749,000","-158,576,000","-57,640,000","-28,070,000","-2,036,000","-36,665,000","-25,174,000","-2,217,000","3,133,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"300,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-48,000","90,881,000",-,"1,379,000","1,481,000","-73,000",-,"-38,000","46,000","-46,000",-,"-42,000","21,000","-21,000",-,"-4,000","1,000","-7,000",-,"-79,000",Upgrade,Financials in EUR,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,000,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,-,-,-,"4,700,000","-8,700,000","5,691,000",-,"-89,400,000","17,000","89,383,000",-,"2,600,000",-,-,-,-,"800,000",-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-12,956,000","-25,099,000","58,917,000","-28,255,000","-31,550,000","-20,577,000","-18,247,000","-47,903,000","72,310,000","-143,683,000","-25,539,000","174,307,000","-158,555,000","-57,661,000","-28,070,000","-2,040,000","-35,864,000","-25,181,000","-2,217,000","1,054,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"-3,720,000","-166,000","8,000","3,903,000","2,675,000","-3,658,000","-120,000","-3,699,000","-108,000","1,769,000","502,000","1,799,000","979,000","1,036,000","-368,000","19,000","831,000","-771,000","-988,000","364,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-9,236,000","-24,933,000","58,909,000","-32,158,000","-34,225,000","-16,919,000","-18,127,000","-44,204,000","72,418,000","-145,452,000","-26,041,000","172,508,000","-159,534,000","-58,697,000","-27,702,000","-2,059,000","-36,695,000","-24,410,000","-1,229,000","690,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-9,236,000","-24,933,000","58,909,000","-32,158,000","-34,225,000","-16,919,000","-18,127,000","-44,204,000","72,418,000","-145,452,000","-26,041,000","172,508,000","-159,534,000","-58,697,000","-27,702,000","-2,059,000","-36,695,000","-24,410,000","-1,229,000","690,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-89.412%,Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"140,525,332","131,548,477","140,259,523","138,871,524","135,258,000","140,929,539","139,438,461","138,825,005","105,990,905","108,575,580","108,504,166","96,533,458","104,055,910","97,547,912","92,340,000","92,011,302","87,881,676","60,235,714","122,900,000","123,577,073",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"140,525,332","131,548,477","143,680,487","138,871,524","135,258,000","140,929,539","139,438,461","138,825,005","105,990,905","108,575,580","108,504,166","96,533,458","104,055,910","97,547,912","92,340,000","92,011,302","87,881,676","60,235,714","122,900,000","123,577,073",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),3.894%,-6.657%,3.042%,0.034%,27.613%,29.799%,28.510%,43.810%,1.860%,11.305%,17.505%,4.915%,18.405%,61.944%,-24.866%,-25.543%,5.458%,-4.398%,26.623%,32.736%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-0.066,-0.190,0.420,-0.232,-0.253,-0.120,-0.130,-0.318,0.683,-1.340,-0.240,1.787,-1.533,-0.602,-0.300,-0.022,-0.418,-0.405,-0.010,0.006,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-0.066,-0.190,0.410,-0.232,-0.253,-0.120,-0.130,-0.318,0.683,-1.340,-0.240,1.787,-1.533,-0.602,-0.300,-0.023,-0.418,-0.405,-0.010,0.005,Upgrade,Financials in EUR,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-93.074%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-16,385,000","-37,435,000","-32,930,000","-71,788,000","-72,591,000","-44,424,000","-28,172,000","-62,611,000","-95,798,000","-79,944,000","-36,236,000","17,193,000","-77,595,000","13,848,000","31,226,000","48,819,000","-41,420,000","108,957,000","2,446,000","-2,034,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.117,-0.285,-0.229,-0.517,-0.537,-0.315,-0.202,-0.451,-0.904,-0.736,-0.334,0.178,-0.746,0.142,0.338,0.531,-0.471,1.809,0.020,-0.016,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,2.754%,-5.150%,-7.749%,-4.394%,-65.985%,-31.053%,-3.095%,24.676%,65.052%,-,-58.141%,69.672%,-,-192.897%,-82.555%,3.367%,-218.335%,-138.520%,27.978%,28.467%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-27.062%,-295.391%,208.253%,-74.672%,-39.390%,-69.508%,-49.460%,16.478%,59.525%,-,-84.323%,62.412%,-677.794%,-226.517%,-134.123%,-5.100%,-286.674%,-173.469%,0.247%,10.078%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-20.155%,-65.510%,179.858%,-76.753%,-89.898%,-48.978%,-54.098%,-22.014%,46.226%,-,-119.197%,62.000%,-713.958%,-241.691%,-119.323%,-4.000%,-335.390%,-192.402%,-3.489%,1.540%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-35.756%,-98.358%,-100.540%,-171.340%,-190.673%,-128.601%,-84.075%,-31.181%,-61.150%,-,-165.863%,6.179%,-347.259%,57.021%,134.502%,94.844%,-378.576%,858.808%,6.945%,-4.540%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-12,396,200","-107,678,500","71,147,000","-28,348,000","-10,639,000","-19,654,000","-12,373,000","36,591,000","95,173,250","-215,370,000","-13,222,000","175,575,250","-150,492,500","-51,961,500","-30,177,500","-1,664,500","-28,918,000","-19,589,000","2,355,000","6,846,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,-27.052%,-282.918%,217.223%,-67.659%,-27.945%,-56.895%,-36.925%,18.223%,60.751%,-,-60.521%,63.102%,-,-213.957%,-129.986%,-3.234%,-264.308%,-154.402%,6.686%,15.280%,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"4,800","4,747,500","2,938,000","2,938,000","4,357,000","4,357,000","4,200,000","3,503,000","1,920,250","5,954,000","5,200,000","1,920,250","960,500","3,050,500","960,500","960,500","2,447,000","2,419,000","2,268,000","2,331,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-12,401,000","-112,426,000","68,209,000","-31,286,000","-14,996,000","-24,011,000","-16,573,000","33,088,000","93,253,000","-221,324,000","-18,422,000","173,655,000","-151,453,000","-55,012,000","-31,138,000","-2,625,000","-31,365,000","-22,008,000","87,000","4,515,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,-27.062%,-295.391%,208.253%,-74.672%,-39.389%,-69.508%,-49.460%,16.478%,59.525%,-,-84.323%,62.412%,-,-226.517%,-134.123%,-5.100%,-286.674%,-173.469%,0.247%,10.078%,Upgrade,Financials in EUR,Fiscal year is January - December
Effective Tax Rate,-,-,0.013%,-,-,-,-,-,-,-,-,1.032%,-,-,-,-,-,-,-,34.535%,Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"45,824,000","38,060,000","32,753,000","41,899,000","38,071,000","40,235,000","33,508,000","111,401,000","156,678,000","71,377,000","21,847,000","278,239,000","22,345,000","24,287,000","23,215,000","51,473,000","10,941,000","12,688,000","35,219,000","44,802,000",Upgrade,Financials in EUR,Fiscal year is January - December
