Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"226,844,000","197,516,000","163,698,000","153,075,000","121,968,000","117,850,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,"667,000","3,109,000","2,211,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"226,844,000","197,516,000","164,365,000","156,184,000","124,179,000","117,850,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.477%,20.169%,5.238%,25.773%,5.370%,29.709%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"64,729,000","61,940,000","54,577,000","50,159,000","39,951,000","37,571,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"162,115,000","135,576,000","109,788,000","106,025,000","84,228,000","80,279,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","138,569,000","120,998,000","106,903,000","97,592,000","68,836,000","61,139,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"24,775,000","21,042,000","19,943,000","16,287,000","13,020,000","30,391,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"163,344,000","142,040,000","126,846,000","113,879,000","81,856,000","91,530,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,229,000","-6,464,000","-17,058,000","-7,854,000","2,372,000","-11,251,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-616,000","-600,000","-366,000","-4,000","-6,000","-8,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,286,000","4,632,000","1,341,000","224,000","691,000","1,614,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"207,000","64,000","95,000","52,000","-13,000","-20,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"4,648,000","-2,368,000","-15,988,000","-7,582,000","3,044,000","-9,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"4,648,000","-2,368,000","-15,988,000","-7,582,000","3,044,000","-9,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,100,000","814,000","721,000","-111,000","180,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"3,548,000","-3,182,000","-16,709,000","-7,471,000","2,864,000","-9,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"3,548,000","-3,182,000","-16,709,000","-7,471,000","2,864,000","-9,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,416,500","47,590,000","47,130,000","46,472,000","45,221,000","44,180,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,416,500","47,590,000","47,130,000","46,472,000","47,282,000","44,180,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.014%,0.976%,1.416%,-1.713%,7.021%,9.786%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.073,-0.067,-0.355,-0.161,0.063,-0.219,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.073,-0.070,-0.355,-0.161,0.060,-0.220,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,015,000","15,298,000","10,091,000","21,125,000","14,946,000","-9,799,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.248,0.321,0.214,0.455,0.316,-0.222,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,71.465%,68.641%,66.795%,67.885%,67.828%,68.120%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-0.542%,-3.273%,-10.378%,-5.029%,1.910%,-9.547%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,1.564%,-1.611%,-10.166%,-4.783%,2.306%,-8.201%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-5.297%,7.745%,6.139%,13.526%,12.036%,-8.315%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"3,947,000","-1,832,000","-13,077,000","-4,889,000","4,755,000","-9,507,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,1.740%,-0.927%,-7.956%,-3.130%,3.829%,-8.067%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,176,000","4,632,000","3,981,000","2,965,000","2,383,000","1,744,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,229,000","-6,464,000","-17,058,000","-7,854,000","2,372,000","-11,251,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-0.542%,-3.273%,-10.378%,-5.029%,1.910%,-9.547%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,23.666%,-,-,-,5.913%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"226,844,000","197,516,000","164,365,000","156,184,000","124,179,000","117,850,000",Upgrade,Financials in USD,Fiscal year is January - December
