Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"24,396,000","11,758,000","1,941,000",-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),219.906%,505.770%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"196,110,000","184,946,000","130,095,000","68,202,000","35,371,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-171,714,000","-173,188,000","-128,154,000","-68,202,000","-35,371,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,827,000","49,936,000","37,533,000","18,865,000","5,256,000","2,498,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"11,144,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"54,827,000","49,936,000","37,533,000","18,865,000","5,256,000","13,642,000",Financials in USD,Fiscal year is January - December
Operating Income,"-226,541,000","-223,124,000","-165,687,000","-87,067,000","-40,627,000","-13,642,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"28,793,000","23,166,000","6,867,000","142,000","162,000","278,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,030,000","165,000","1,486,000","-33,389,000","-5,239,000","-5,933,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-196,718,000","-199,793,000","-157,334,000","-120,314,000","-45,704,000","-19,297,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"308,000","275,000","53,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-197,026,000","-200,068,000","-157,387,000","-120,314,000","-45,704,000","-19,297,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-197,026,000","-200,068,000","-157,387,000","-120,314,000","-45,704,000","-19,297,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"80,432,761","64,175,137","54,023,653","26,872,036","2,250,093","1,277,156",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"80,432,761","64,175,137","54,023,653","26,872,036","2,250,093","1,277,156",Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.461%,18.791%,101.040%,1094.263%,76.180%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.450,-3.118,-2.913,-4.477,-20.312,-15.109,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.450,-3.118,-2.913,-4.477,-20.312,-15.109,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-162,061,000","-158,832,000","-135,564,000","-82,239,000","-38,689,000","-9,299,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.015,-2.475,-2.509,-3.060,-17.194,-7.281,Financials in USD,Fiscal year is January - December
Operating Margin,-928.599%,-1897.636%,-8536.167%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-807.616%,-1701.548%,-8108.552%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-664.293%,-1350.842%,-6984.235%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-219,971,000","-217,669,000","-162,883,000","-85,532,000","-39,299,000","-13,536,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"6,570,000","5,455,000","2,804,000","1,535,000","1,328,000","106,000",Financials in USD,Fiscal year is January - December
EBIT,"-226,541,000","-223,124,000","-165,687,000","-87,067,000","-40,627,000","-13,642,000",Financials in USD,Fiscal year is January - December
