Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","28,006,000","27,932,000","21,440,000","10,079,000","3,554,000",Financials in USD,Fiscal year is January - December
Research & Development,"60,420,000","60,934,000","47,444,000","32,330,000","9,028,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"88,426,000","88,866,000","68,884,000","42,409,000","12,582,000",Financials in USD,Fiscal year is January - December
Operating Income,"-88,426,000","-88,866,000","-68,884,000","-42,409,000","-12,582,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,822,000","6,241,000","623,000","3,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"5,000","-13,000","-44,000","-877,000","-2,664,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-82,599,000","-82,638,000","-68,305,000","-43,283,000","-15,246,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-82,599,000","-82,638,000","-68,305,000","-43,283,000","-57,092,000",Financials in USD,Fiscal year is January - December
Net Income,"-82,599,000","-82,638,000","-68,305,000","-43,283,000","-57,092,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-82,599,000","-82,638,000","-68,305,000","-43,283,000","-57,092,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"39,960,728","38,712,207","31,685,125","1,531,686","1,349,702",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"39,960,728","38,712,207","31,685,125","1,531,686","1,349,702",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.412%,22.178%,1968.644%,13.483%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.067,-2.135,-2.156,-28.258,-42.300,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.067,-2.135,-2.156,-28.258,-42.300,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-48,610,000","-71,037,000","-66,070,000","-39,551,000","-10,360,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.216,-1.835,-2.085,-25.822,-7.676,Financials in USD,Fiscal year is January - December
EBITDA,"-87,973,000","-88,467,000","-68,806,000","-42,381,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"453,000","399,000","78,000","28,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-88,426,000","-88,866,000","-68,884,000","-42,409,000","-12,582,000",Financials in USD,Fiscal year is January - December
