Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","14,120,000","17,324,000","24,327,000","15,437,000","5,348,000","3,193,965",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"33,092,000","33,369,000","26,262,000","23,861,000","13,467,000","8,864,355",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"47,212,000","50,693,000","50,589,000","39,298,000","18,815,000","12,058,320",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-47,212,000","-50,693,000","-50,589,000","-39,298,000","-18,815,000","-12,058,320",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,182,000","-3,704,000","-577,000","-491,000","-216,000","-1,657,743",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,113,000","3,345,000","1,171,000","38,000","48,000","61,294",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,992,000","-6,000","798,000","-290,000","-34,000","14,704",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-43,289,000","-51,058,000","-49,197,000","-40,041,000","-19,017,000","-13,640,065",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"13,500,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"257,000",-,"81,188",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,289,000","-51,058,000","-49,197,000","-114,762,000","-19,017,000","-13,558,877",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-43,289,000","-51,058,000","-49,197,000","-114,762,000","-19,017,000","-13,558,877",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-43,289,000","-51,058,000","-49,197,000","-114,762,000","-19,017,000","-13,558,877",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"39,274,210","38,624,462","37,790,981","31,870,067","324,728","2,356,483",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"39,274,210","38,624,462","37,790,981","31,870,067","324,728","2,356,483",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.993%,2.206%,18.578%,9714.388%,-86.220%,145.726%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.102,-1.322,-1.302,-3.601,-58.563,-5.754,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.102,-1.322,-1.302,-3.601,-58.563,-5.754,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-34,796,000","-40,030,000","-35,502,000","-19,103,000","-16,109,000","-10,380,481",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.886,-1.036,-0.939,-0.599,-49.608,-4.405,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-46,773,000","-50,201,000","-50,379,000","-39,120,000","-18,783,000","-12,055,185",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"439,000","492,000","210,000","178,000","32,000","3,135",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-47,212,000","-50,693,000","-50,589,000","-39,298,000","-18,815,000","-12,058,320",Upgrade,Financials in USD,Fiscal year is January - December
