Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","29,139,000","31,721,000","28,868,000","21,489,000","11,748,000","4,217,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"88,859,000","94,315,000","64,550,000","47,529,000","31,618,000","6,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"117,998,000","126,036,000","93,418,000","69,018,000","43,366,000","10,417,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-117,998,000","-126,036,000","-93,418,000","-69,018,000","-43,366,000","-10,417,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-608,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,535,000","8,173,000","1,324,000","119,000","29,000","154,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"32,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-112,463,000","-117,863,000","-92,094,000","-68,899,000","-43,337,000","-10,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-112,463,000","-117,863,000","-92,094,000","-68,899,000","-43,337,000","-10,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"1,228,000","5,925,000","1,773,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-112,463,000","-117,863,000","-92,094,000","-70,127,000","-49,262,000","-12,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"68,161,178","67,191,973","39,551,420","33,433,214","213,658","114,961",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"68,161,178","67,191,973","39,551,420","33,433,214","213,658","114,961",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.660%,69.885%,18.300%,15548.005%,85.853%,30.965%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.650,-1.754,-2.328,-2.098,-230.565,-109.707,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.650,-1.754,-2.328,-2.098,-230.565,-109.707,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-99,891,000","-101,361,000","-93,606,000","-73,038,000","-40,453,000","-10,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.466,-1.509,-2.367,-2.185,-189.335,-92.231,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-114,443,000","-122,544,000","-90,893,000","-67,584,000","-42,761,000","-10,326,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,555,000","3,492,000","2,525,000","1,434,000","605,000","91,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-117,998,000","-126,036,000","-93,418,000","-69,018,000","-43,366,000","-10,417,000",Upgrade,Financials in USD,Fiscal year is January - December
