Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",,
Revenue,"84,872","156,419","8,561",-,"123,820","99,876",Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),7.025%,1727.111%,-,-,23.974%,-,Financials in USD,Fiscal year is April - March
Cost of Revenue,"51,274","105,829","9,926",-,"133,254","54,127",Financials in USD,Fiscal year is April - March
Gross Profit,"33,598","50,590","-1,365",-,"-9,434","45,749",Financials in USD,Fiscal year is April - March
"Selling, General & Admin","4,631,351","4,594,743","3,552,055","1,299,936","514,883","609,993",Financials in USD,Fiscal year is April - March
Research & Development,"1,681,033","1,561,965","2,179,341","433,743","120,221","87,000",Financials in USD,Fiscal year is April - March
Operating Expenses,"6,312,384","6,156,708","5,731,396","1,733,679","635,104","696,993",Financials in USD,Fiscal year is April - March
Operating Income,"-6,278,786","-6,106,118","-5,732,761","-1,733,679","-644,538","-651,244",Financials in USD,Fiscal year is April - March
Interest Expense,"-42,355","-26,878","-15,468","-15,438","-28,643","-90,690",Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-6,645","-17,734","-3,917",-753,266,"2,470",Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-6,327,786","-6,150,730","-5,752,146","-1,749,870","-672,915","-739,464",Financials in USD,Fiscal year is April - March
Asset Writedown,"-390,355","-390,355",-,-,-,-,Financials in USD,Fiscal year is April - March
Legal Settlements,"-210,500","-210,500",-,-,-,-,Financials in USD,Fiscal year is April - March
Other Unusual Items,"210,500","12,465","294,383",-,-,-,Financials in USD,Fiscal year is April - March
Pretax Income,"-6,718,141","-6,739,120","-5,457,763","-1,749,870","-672,915","-739,464",Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"-6,581,480","-6,739,120","-5,457,763","-1,749,870","-672,915","-739,464",Financials in USD,Fiscal year is April - March
Minority Interest in Earnings,"1,168","5,583",269,"41,043","21,931","29,023",Financials in USD,Fiscal year is April - March
Net Income,"-6,580,312","-6,733,537","-5,457,494","-1,708,827","-650,984","-710,441",Financials in USD,Fiscal year is April - March
Net Income to Common,"-6,580,312","-6,733,537","-5,457,494","-1,708,827","-650,984","-710,441",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"2,670,548","2,006,414","1,062,984","956,326","240,484","104,365",Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"2,670,548","2,006,414","1,062,984","956,326","240,484","104,365",Financials in USD,Fiscal year is April - March
Shares Change (YoY),50.429%,88.753%,11.153%,297.667%,130.426%,-,Financials in USD,Fiscal year is April - March
EPS (Basic),-2.464,-3.356,-5.134,-1.787,-2.707,-6.807,Financials in USD,Fiscal year is April - March
EPS (Diluted),-2.468,-3.360,-5.134,-1.790,-2.707,-6.807,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-5,279,595","-7,199,513","-4,179,767","-809,070","-590,186","-744,613",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-1.977,-3.588,-3.932,-0.846,-2.454,-7.135,Financials in USD,Fiscal year is April - March
Gross Margin,39.587%,32.343%,-15.944%,-,-7.619%,45.806%,Financials in USD,Fiscal year is April - March
Operating Margin,-7397.947%,-3903.693%,-66963.684%,-,-520.544%,-652.053%,Financials in USD,Fiscal year is April - March
Profit Margin,-7753.219%,-4304.808%,-63748.324%,-,-525.750%,-711.323%,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,-6220.656%,-4602.710%,-48823.350%,-,-476.648%,-745.537%,Financials in USD,Fiscal year is April - March
EBITDA,"-6,116,579","-6,051,248",-,-,-,-,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"162,207","54,870",-,-,-,-,Financials in USD,Fiscal year is April - March
EBIT,"-6,278,786","-6,106,118","-5,732,761","-1,733,679","-644,538","-651,244",Financials in USD,Fiscal year is April - March
Revenue as Reported,-,-,-,-,"123,820","99,876",Financials in USD,Fiscal year is April - March
