Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"16,760,000","7,379,000","107,000","892,000","4,046,000","9,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),303.272%,6796.262%,-88.004%,-77.954%,-58.974%,137.124%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"66,264,000","68,142,000","81,054,000","48,749,000","19,863,000","14,540,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-49,504,000","-60,763,000","-80,947,000","-47,857,000","-15,817,000","-4,678,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,197,000","22,584,000","29,386,000","21,890,000","15,202,000","6,187,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"22,197,000","22,584,000","29,386,000","21,890,000","15,202,000","6,187,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-71,701,000","-83,347,000","-110,333,000","-69,747,000","-31,019,000","-10,865,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,919,000","-1,447,000","-1,305,000","-1,480,000","-1,874,000","-2,388,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,517,000","2,652,000","1,247,000","81,000","75,000","149,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-1,000","-13,000","-32,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"23,000","-62,000","-6,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-72,080,000","-82,204,000","-110,397,000","-71,147,000","-32,831,000","-13,136,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"849,000","-4,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-4,254,000","-3,005,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"6,960,000","3,789,000",-,"-100,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-72,080,000","-82,204,000","-107,691,000","-70,363,000","-31,982,000","-18,155,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"258,000","261,000","67,000","107,000","238,000","490,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-72,338,000","-82,465,000","-107,758,000","-70,470,000","-32,220,000","-18,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-72,338,000","-82,465,000","-107,758,000","-70,470,000","-32,220,000","-18,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"180,703,895","144,819,781","127,683,813","121,453,723","88,295,762","21,569,523",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"180,703,895","144,819,781","127,683,813","121,453,723","88,295,762","21,569,523",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.023%,13.421%,5.130%,37.553%,309.354%,241.503%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.400,-0.569,-0.844,-0.580,-0.365,-0.864,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.400,-0.569,-0.844,-0.580,-0.365,-0.864,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-51,346,000","-72,324,000","-104,380,000","-64,989,000","-24,973,000","-13,940,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.284,-0.499,-0.817,-0.535,-0.283,-0.646,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-295.370%,-,-,-,-,-47.434%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-427.810%,-1129.516%,-103114.953%,-7819.170%,-766.658%,-110.170%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-431.611%,-1117.563%,-100708.411%,-7900.224%,-796.342%,-189.059%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-306.360%,-980.133%,-97551.402%,-7285.762%,-617.227%,-141.351%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-62,756,000","-74,723,000","-104,528,000","-65,539,000","-28,309,000","-7,269,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-73.707%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,945,000","8,624,000","5,805,000","4,208,000","2,710,000","3,596,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-71,701,000","-83,347,000","-110,333,000","-69,747,000","-31,019,000","-10,865,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-110.170%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"16,760,000","7,379,000","107,000","892,000","4,046,000","9,862,000",Upgrade,Financials in USD,Fiscal year is January - December
