Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"24,629,000","29,578,000","19,516,000","90,061,000","4,614,000","4,853,000","150,480,000","-1,550,000","41,086,000","712,000","658,000","28,073,000","1,482,000","1,357,000","6,501,000","6,537,000","117,843,000","28,681,000","18,067,000","32,674,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),433.788%,509.479%,-87.031%,-,-88.770%,581.601%,22769.301%,-,2672.335%,-47.531%,-89.878%,329.448%,-98.742%,-95.269%,-64.017%,-79.993%,476.729%,-37.768%,247.643%,1527.191%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"30,241,000","34,452,000","27,092,000","25,756,000","25,863,000","21,985,000","18,568,000","14,551,000","19,337,000","12,527,000","14,349,000","14,020,000","17,914,000","19,505,000","22,346,000","21,996,000","25,039,000","29,423,000","32,294,000","36,551,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-5,612,000","-4,874,000","-7,576,000","64,305,000","-21,249,000","-17,132,000","131,912,000","-16,101,000","21,749,000","-11,815,000","-13,691,000","14,053,000","-16,432,000","-18,148,000","-15,845,000","-15,459,000","92,804,000","-742,000","-14,227,000","-3,877,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,168,000","10,151,000","8,607,000","10,242,000","8,258,000","8,294,000","9,028,000","8,462,000","7,307,000","7,552,000","7,659,000","8,351,000","8,714,000","10,437,000","9,744,000","8,270,000","8,277,000","8,239,000","10,206,000","9,891,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,168,000","10,151,000","8,607,000","10,242,000","8,258,000","8,294,000","9,028,000","8,462,000","7,307,000","7,552,000","7,659,000","8,351,000","8,714,000","10,437,000","9,744,000","8,270,000","8,277,000","8,239,000","10,206,000","9,891,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-13,780,000","-15,025,000","-16,183,000","54,063,000","-29,507,000","-25,426,000","122,884,000","-24,563,000","14,442,000","-19,367,000","-21,350,000","5,702,000","-25,146,000","-28,585,000","-25,589,000","-23,729,000","84,527,000","-8,981,000","-24,433,000","-13,768,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-643,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,579,000","4,888,000","4,867,000","3,154,000","3,429,000","3,274,000","1,864,000","976,000","545,000","219,000","31,000",-,"121,000","48,000","19,000","81,000","254,000","346,000","978,000","1,392,000",Upgrade,Financials in USD,Fiscal year is January - December
