Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"2,263,000","2,357,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"2,263,000","2,357,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,307,000","5,815,000","6,139,000","6,394,000","6,310,000","6,898,000","7,395,000","8,170,000","7,168,000","8,306,000","6,304,000","8,204,000","5,491,000","5,262,000","4,899,000","2,928,000","3,163,000","2,300,000","2,262,000",Financials in USD,Fiscal year is January - December
Research & Development,"10,759,000","11,216,000","10,400,000","11,736,000","11,051,000","13,218,000","16,131,000","14,997,000","13,038,000","16,246,000","14,920,000","11,352,000","10,470,000","17,745,000","11,621,000","17,667,000","11,460,000","9,147,000","5,636,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"17,066,000","17,031,000","16,539,000","18,130,000","17,361,000","20,116,000","23,526,000","23,167,000","20,206,000","24,552,000","21,224,000","19,556,000","15,961,000","23,007,000","16,520,000","20,595,000","14,623,000","11,447,000","7,898,000",Financials in USD,Fiscal year is January - December
Operating Income,"-14,803,000","-14,674,000","-16,539,000","-18,130,000","-17,361,000","-20,116,000","-23,526,000","-23,167,000","-20,206,000","-24,552,000","-21,224,000","-19,556,000","-15,961,000","-23,007,000","-16,520,000","-20,595,000","-14,623,000","-11,447,000","-7,898,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-100,000","-100,000",-,-,"-200,000","-300,000",-,-,"-200,000","-100,000",-,-,"-200,000","-200,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"742,000","779,000","384,000","575,000","613,000","761,000","1,080,000","1,001,000","416,000","-61,000","71,000","-45,000","-290,000","-174,000","53,000","23,000","-196,000","-63,000","-220,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,061,000","-13,895,000","-16,255,000","-17,655,000","-16,748,000","-19,355,000","-22,646,000","-22,466,000","-19,790,000","-24,613,000","-21,353,000","-19,701,000","-16,251,000","-23,181,000","-16,667,000","-20,772,000","-14,819,000","-11,510,000","-8,118,000",Financials in USD,Fiscal year is January - December
