Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","7,711,309","11,213,201","8,025,379","5,580,099","5,364,171",Financials in USD,Fiscal year is January - December
Research & Development,"1,915,141","3,207,573","5,807,753","2,124,277","6,468,887",Financials in USD,Fiscal year is January - December
Operating Expenses,"9,626,450","14,420,774","13,833,132","7,704,376","11,833,058",Financials in USD,Fiscal year is January - December
Operating Income,"-9,626,450","-14,420,774","-13,833,132","-7,704,376","-11,833,058",Financials in USD,Fiscal year is January - December
Interest Expense,"-131,892",-,"-427,542","-821,366","-516,450",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,457,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-607,001","228,100","-333,658",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,758,342","-14,420,317","-14,867,675","-8,297,642","-12,683,166",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-11,895,033",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"213,481",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,916,597","-107,753,776","-14,867,675","-8,084,161","-12,683,166",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-586,361","-9,455,830","-745,050",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-21,330,236","-98,297,946","-14,122,625","-8,084,161","-12,683,166",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"7,948,209",-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,330,236","-106,246,155","-14,122,625","-8,084,161","-12,683,166",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"665,936","97,500","22,936,183","2,416,726","67,533",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"665,936","97,500","22,936,183","2,416,726","67,533",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-97.096%,-99.575%,849.060%,3478.585%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-32.030,-1089.704,-0.616,-3.345,-187.807,Financials in USD,Fiscal year is January - December
EPS (Diluted),-32.030,-1089.704,-0.616,-3.345,-187.807,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,122,441","-8,720,819","-4,888,529","-5,076,089","-5,109,833",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-13.699,-89.444,-0.213,-2.100,-75.664,Financials in USD,Fiscal year is January - December
EBITDA,"-9,616,917","-14,410,374","-13,822,732","-7,693,976","-11,822,658",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,533","10,400","10,400","10,400","10,400",Financials in USD,Fiscal year is January - December
EBIT,"-9,626,450","-14,420,774","-13,833,132","-7,704,376","-11,833,058",Financials in USD,Fiscal year is January - December
