Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"62,199,000","76,012,000","412,482,000","26,680,000","38,951,000","29,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-86.525%,-81.572%,1446.034%,-31.504%,31.841%,-44.277%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"124,661,000","142,989,000","208,703,000","199,539,000","170,896,000","117,096,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-62,462,000","-66,977,000","203,779,000","-172,859,000","-131,945,000","-87,552,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","60,144,000","70,446,000","74,958,000","42,561,000","55,216,000","62,710,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"60,139,000","70,441,000","74,947,000","42,432,000","55,175,000","62,876,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-122,601,000","-137,418,000","128,832,000","-215,291,000","-187,120,000","-150,428,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"20,908,000","19,705,000","3,596,000","1,965,000","5,697,000","5,877,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-375,000","-1,185,000","1,152,000","1,191,000","1,683,000","-567,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-248,000","286,000","-53,000","-11,000","-76,000","138,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-102,316,000","-118,612,000","133,527,000","-212,146,000","-179,816,000","-144,980,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"1,457,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,579,000","-630,000","250,000","-213,000","-307,000","-271,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-118,024,000","-119,242,000","135,234,000","-212,359,000","-180,123,000","-146,019,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-4,353,000","-568,000","10,893,000","-516,000","429,000","-582,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-113,671,000","-118,674,000","124,341,000","-211,843,000","-180,552,000","-145,437,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-113,671,000","-118,674,000","124,341,000","-211,843,000","-180,552,000","-145,437,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"74,887,113","68,863,010","65,194,775","51,553,869","50,382,497","38,022,014",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"74,887,113","68,863,010","65,249,184","52,131,596","50,382,497","38,022,014",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.383%,5.538%,25.162%,3.472%,32.509%,30.705%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.518,-1.723,1.907,-4.109,-3.584,-3.825,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.518,-1.723,1.902,-4.611,-3.584,-3.830,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-56,615,000","-120,777,000","135,959,000","-204,855,000","-155,713,000","-88,175,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.756,-1.754,2.084,-3.930,-3.091,-2.319,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-100.423%,-88.114%,49.403%,-,-,-296.344%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-197.111%,-180.785%,31.233%,-806.938%,-480.398%,-509.166%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-182.754%,-156.125%,30.145%,-794.014%,-463.536%,-492.273%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-91.022%,-158.892%,32.961%,-767.822%,-399.766%,-298.453%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-114,707,000","-127,254,000","136,067,000","-208,759,000","-183,765,000","-148,116,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-184.419%,-167.413%,32.987%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,894,000","10,164,000","7,235,000","6,532,000","3,355,000","2,312,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-122,601,000","-137,418,000","128,832,000","-215,291,000","-187,120,000","-150,428,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-197.111%,-180.785%,31.233%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,8.055%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
